level_0,index,ds,BNB_USDT_1h_open,BNB_USDT_1h_high,BNB_USDT_1h_low,BNB_USDT_1h_close,BNB_USDT_1h_volume,BTC_USDT_1h_open,BTC_USDT_1h_high,BTC_USDT_1h_low,BTC_USDT_1h_close,BTC_USDT_1h_volume,DOGE_USDT_1h_open,DOGE_USDT_1h_high,DOGE_USDT_1h_low,DOGE_USDT_1h_close,DOGE_USDT_1h_volume,ETH_USDT_1h_open,ETH_USDT_1h_high,ETH_USDT_1h_low,ETH_USDT_1h_close,ETH_USDT_1h_volume,SOL_USDT_1h_open,SOL_USDT_1h_high,SOL_USDT_1h_low,SOL_USDT_1h_close,SOL_USDT_1h_volume,XRP_USDT_1h_open,XRP_USDT_1h_high,XRP_USDT_1h_low,XRP_USDT_1h_close,XRP_USDT_1h_volume
66,66,2023-06-14,244.2177,253.0174,233.0644,238.0597,7287.31739,25935.73,26111.65,24821.91,25130.23,6086.457539999999,0.06176,0.0622,0.05792,0.06041,85423039.8,1740.21,1749.92,1627.32,1651.0,75879.32195,15.04,15.36,14.06,14.5,499072.842,0.5191,0.5204,0.4611,0.4802,66164769.52
67,67,2023-06-15,238.0597,240.8121,230.4769,236.6505,6534.18692,25130.23,25756.08,24776.56,25596.64,5290.007872,0.06041,0.06197,0.05976,0.06152,64138015.9,1651.0,1681.25,1627.5,1667.0,55011.1677,14.5,15.06,14.17,14.78,615951.309,0.4802,0.4855,0.4669,0.4803,43418670.72
68,68,2023-06-16,236.6505,243.8402,232.1272,239.4281,5362.2489,25596.64,26500.0,25169.84,26345.9,6650.332957,0.06152,0.06283,0.06069,0.06219,52972337.6,1667.0,1729.08,1649.81,1718.04,60178.54752,14.78,15.46,14.38,15.32,387505.251,0.4803,0.4831,0.4554,0.4757,46201901.9
69,69,2023-06-17,239.4281,249.8996,237.1568,244.7082,7705.63173,26345.9,26838.9,26182.15,26518.93,4217.36376,0.06219,0.06296,0.0617,0.0622,25244649.3,1718.04,1772.0,1714.46,1727.76,36438.98029,15.32,16.12,15.18,15.65,336934.969,0.4757,0.4868,0.4696,0.4795,30414552.83
70,70,2023-06-18,244.7082,248.5898,242.1959,244.2519,3179.44578,26518.93,26701.35,26254.01,26342.67,2856.064486,0.0622,0.06396,0.06106,0.0621,61553131.8,1727.76,1747.72,1712.83,1720.88,27910.0299,15.65,15.83,15.29,15.45,268634.051,0.4795,0.4975,0.4739,0.4869,31824203.13
71,71,2023-06-19,244.2519,245.4,238.3001,242.9316,8065.28536,26342.67,27070.99,26260.71,26845.78,5545.941015,0.0621,0.06282,0.0615,0.06243,29855944.4,1720.88,1751.85,1697.02,1737.12,42888.4871,15.45,16.14,15.34,16.11,263637.588,0.4869,0.4982,0.4814,0.4935,38678251.269999996
72,72,2023-06-20,242.9316,248.001,238.5497,247.7398,3390.69949,26845.78,28400.0,26652.99,28303.87,9626.825647,0.06243,0.06316,0.06073,0.06315,31067228.6,1737.12,1796.36,1714.62,1792.38,60333.53927,16.11,16.7,15.73,16.65,374313.857,0.4935,0.4965,0.4714,0.4927,44828358.77
73,73,2023-06-21,247.7398,254.9919,245.1683,249.0293,8471.41259,28303.87,30800.0,28261.01,29995.09,14854.096217999999,0.06315,0.06679,0.06285,0.06561,88681744.8,1792.38,1901.68,1787.51,1889.37,94278.14644,16.65,17.4,16.56,17.24,547722.245,0.4927,0.5034,0.4894,0.5,61220736.79
74,74,2023-06-22,249.0293,256.8606,239.4511,240.5956,6480.46442,29995.09,30505.03,29529.0,29887.38,8261.912519,0.06561,0.06937,0.06498,0.06557,132161366.60000001,1889.37,1932.88,1866.6,1872.14,57173.28998,17.24,17.74,16.58,16.63,445183.646,0.5,0.5272,0.482,0.4937,66413900.65
75,75,2023-06-23,240.5956,249.7,239.75,244.2158,6695.70075,29887.38,31433.17,29796.96,30686.59,10682.930018,0.06557,0.07013,0.06522,0.06823,81769385.7,1872.14,1936.79,1861.91,1892.4,72972.47673,16.63,17.53,16.17,17.14,511747.137,0.4937,0.5022,0.4841,0.496,52572507.03
